@relation robots

@attribute distanciaInimigo numeric
@attribute velocidadeLateral numeric
@attribute potenciaBala {0.5,3.0}
@attribute anguloArmaAtual numeric
@attribute anguloAbsolutoInimigo numeric
@attribute anguloArmaPreditor numeric
@attribute acertou {SIM,NAO}

@data
350.0,-1.02,3.0,1.74,1.73,-0.06,NAO
200.0,0.97,3.0,1.45,1.48,0.07,NAO
400.0,0.44,3.0,0.91,0.43,-0.46,NAO
450.0,-7.97,3.0,1.24,1.59,-0.01,NAO
200.0,-2.35,3.0,2.82,2.83,-0.1,NAO
150.0,1.81,3.0,1.05,1.51,0.58,SIM
500.0,3.62,3.0,2.23,5.36,-2.99,SIM
300.0,-7.87,3.0,1.78,2.14,0.0,NAO
450.0,-7.51,3.0,1.84,2.18,-0.0,SIM
150.0,7.3,3.0,3.28,2.82,0.03,NAO
250.0,1.83,3.0,2.24,2.19,0.03,NAO
700.0,-0.05,3.0,0.6,1.76,1.16,NAO
500.0,-0.81,3.0,1.21,0.97,-0.28,NAO
500.0,1.52,3.0,1.91,2.14,0.3,NAO
650.0,2.93,3.0,1.83,1.8,0.1,NAO
250.0,-5.03,3.0,4.52,4.7,-0.05,NAO
400.0,2.04,3.0,4.85,4.76,0.0,NAO
100.0,3.01,3.0,3.37,3.15,-0.02,NAO
100.0,-6.75,3.0,2.32,2.78,0.01,NAO
100.0,-5.75,3.0,2.53,2.72,-0.19,NAO
150.0,0.0,3.0,2.87,2.84,-0.03,NAO
500.0,0.0,3.0,4.75,4.75,0.0,NAO
600.0,0.32,3.0,4.52,4.76,0.25,NAO
450.0,-6.14,3.0,3.15,5.03,1.6,NAO
200.0,1.22,3.0,3.02,3.01,0.05,SIM
150.0,-2.48,3.0,3.26,3.32,-0.11,NAO
300.0,-7.84,0.5,3.08,3.44,0.0,NAO
200.0,-6.24,3.0,2.05,2.29,-0.04,NAO
150.0,7.82,3.0,3.52,3.17,0.01,NAO
150.0,7.64,3.0,3.72,3.38,0.01,SIM
350.0,-3.96,0.5,3.34,3.46,-0.06,NAO
350.0,4.8,3.0,2.39,8.59,0.13,NAO
350.0,7.91,3.0,3.25,2.93,0.04,NAO
450.0,-7.76,3.0,1.79,2.15,0.01,NAO
400.0,0.96,3.0,1.99,1.97,0.02,NAO
100.0,-6.65,3.0,1.78,2.09,-0.13,SIM
450.0,-7.97,3.0,1.98,2.31,-0.03,NAO
150.0,4.77,3.0,2.05,1.89,0.06,NAO
150.0,7.89,3.0,3.35,2.87,0.05,NAO
350.0,7.96,3.0,2.33,1.97,0.0,SIM
250.0,0.0,3.0,2.08,1.97,-0.11,NAO
150.0,-0.0,3.0,6.13,-0.31,-0.16,SIM
150.0,6.13,3.0,5.97,5.78,0.22,SIM
100.0,-3.06,3.0,2.02,2.19,-0.03,NAO
150.0,0.0,3.0,1.51,1.55,0.04,SIM
100.0,6.9,3.0,0.81,0.53,0.18,SIM
